y1,a1,a2,a3,a4,cons,x
1.50,0,0,0,0,1,1997.00
0.29,0,0,0,0,1,4089.00
40.00,0,0,0,0,1,25986.00
2.89,0,0,0,0,1,3182.00
3.62,0,0,0,0,1,3981.00
4.17,0,0,0,0,1,8697.00
1.13,0,0,0,0,1,6054.00
3.00,0,0,0,0,1,3178.00
0.38,0,0,0,0,1,4693.00
0.07,0,0,0,0,1,4491.00
1.00,0,0,0,0,1,2945.00
2.70,0,0,0,0,1,7539.00
3.75,0,0,0,0,1,4119.00
0.35,0,0,0,0,1,6517.00
1.49,0,0,0,0,1,3956.00
1.20,0,0,0,0,1,1288.00
31.00,0,0,0,0,1,16070.00
10.00,0,0,0,0,1,10066.00
4.00,0,0,0,0,1,4057.00
5.91,0,0,0,0,1,6498.00
1.50,0,0,0,0,1,3208.00
11.46,0,0,0,0,1,5051.00
2.70,0,0,0,0,1,2768.00
25.00,0,0,0,0,1,12153.00
0.62,0,0,0,0,1,2828.00
1.20,0,0,0,0,1,4952.00
0.72,0,0,0,0,1,3229.00
4.00,0,0,0,0,1,4755.00
2.00,0,0,0,0,1,7383.00
0.00,0,0,0,0,1,4843.00
1.27,0,0,0,0,1,3052.00
10.16,0,0,0,0,1,11205.00
10.00,0,0,0,0,1,16532.00
0.56,0,0,0,0,1,7527.00
5.02,0,0,0,0,1,5198.00
1.50,0,0,0,0,1,5120.00
0.50,0,0,0,0,1,4891.00
9.00,0,0,0,0,1,8724.00
2.00,0,0,0,0,1,3842.00
