sector_name,lat,long,address,zone,sector_type,population,housing,income,housing_size,amount_waste,amount_waste_kg,waste_rate,edit_date
อบต.ท่าวังพร้าว ,18.51857903,98.86426604,ตำบล ท่าวังพร้าว อำเภอสันป่าตอง เชียงใหม่ 50120,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),1791.00,767.00,30000.00,2.34,1.00,1000.00,0.56,01-06-22
อบต.แม่ทะลม ,19.73004843,99.17960674,ตำบล แม่ทะลบ อำเภอ ไชยปราการ เชียงใหม่ 50320,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),7992.00,3043.00,55000.00,2.63,1.24,1240.00,0.16,01-06-22
ทต.สันผีเสื้อ ,18.82718862,98.99910778,"หมู่ที่ 8, เลขที่ 99, ตำบล สันผีเสื้อ อำเภอเมืองเชียงใหม่ เชียงใหม่ 50300",ภาคเหนือ,เทศบาลตำบล (ทต.),12064.00,9028.00,150000.00,1.34,15.86,15860.00,1.31,01-06-22
อบต.โป่งน้ำร้อน ,19.93268251,99.17194337,ตำบล โป่งน้ำร้อน อำเภอ ฝาง เชียงใหม่,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),6284.00,2164.00,30000.00,2.90,1.17,1170.00,0.19,01-06-22
ทต.แม่โป่ง ,18.83391765,99.17907551,"11 หมู่ ที่ 10 ต แม่ โป่ง, อำเภอดอยสะเก็ด เชียงใหม่ 50220",ภาคเหนือ,เทศบาลตำบล (ทต.),5565.00,2349.00,NaN,2.37,2.18,2180.00,0.39,01-06-22
ทต.หนองแหย่ง ,18.89229098,99.09281627,ตำบล เมืองเล็น อำเภอสันทราย เชียงใหม่ 50210,ภาคเหนือ,เทศบาลตำบล (ทต.),5915.00,2599.00,NaN,2.28,1.87,1870.00,0.32,01-06-22
อบต.สบโขง,17.69340739,98.24072264,"เลขที่ 116 หมู่ที่ 2, ตำบลสบโขง อำเภออมก๋อย จังหวัดเชียงใหม่ 50310",ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),8214.00,2678.00,25000.00,3.07,0.30,300.00,0.04,01-06-22
ทต.บ้านโป่ง,19.37367934,99.17407243,"307 หมู่ 1, ถนนหลวงสาย 1150, ตำบลบ้านโป่ง อำเภอพร้าว จังหวัดเชียงใหม่, 50190",ภาคเหนือ,เทศบาลตำบล (ทต.),3613.00,1511.00,54000.00,2.39,0.03,30.00,0.01,01-06-22
ทต.ขี้เหล็ก ,18.99197852,98.94495127,363 หมู่ 3 ถนนเชียงใหม่-ฝาง ตำบล ขี้เหล็ก อำเภอแม่ริม เชียงใหม่ 50180,ภาคเหนือ,เทศบาลตำบล (ทต.),9370.00,3894.00,NaN,2.41,2.93,2930.00,0.31,01-06-22
อบต.ดอยหล่อ ,18.46651607,98.77824921,ตำบล ดอยหล่อ อำเภอ ดอยหล่อ เชียงใหม่ 50160,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),12227.00,5364.00,45000.00,2.28,NaN,NaN,NaN,01-06-22
อบต.ศรีดงเย็น ,19.65144044,99.14598097,262 บ้านท่า หมู่ที่ 2 ซอย 7 ตำบล ปงตำ อำเภอ ไชยปราการ เชียงใหม่ 50320,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),9493.00,3680.00,108000.00,2.58,5.00,5000.00,0.53,01-06-22
อบต.สะลวง,19.01368322,98.88673702,"เลขที่ 229 หมู่ 3, ตำบลสะลวง อำเภอแม่ริม จังหวัดเชียงใหม่ 50330",ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),4847.00,2388.00,30000.00,2.03,2.00,2000.00,0.41,01-06-22
อบต.ม่อนจอง ,17.38027197,98.47732218,ตำบล ม่อนจอง อำเภอ อมก๋อย เชียงใหม่ 50310,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),5700.00,1390.00,5000.00,4.10,2.00,2000.00,0.35,01-06-22
ทต.แม่อาย,20.02967359,99.28483342,ตำบล แม่อาย อำเภอ แม่อาย เชียงใหม่ 50280,ภาคเหนือ,เทศบาลตำบล (ทต.),10619.00,4862.00,31000.00,2.18,4.20,4200.00,0.40,01-06-22
อบต.บ้านเป้า ,19.18950443,98.99851876,ตำบล บ้านเป้า อำเภอแม่แตง เชียงใหม่ 50150,ภาคเหนือ,องค์การบริหารส่วนตำบล (อบต.),4171.00,1200.00,60874.77,3.48,1.00,1000.00,0.24,01-06-22
